subject_no,group,version,filename,Age,vision,sex,right_handed,height_cm,q_score
23,60implicit,ie,cg_2206,30,Y,F,Y,171,3
24,60implicit,ei,pb_2306,19,N,F,Y,169,1
25,60implicit,ie,rb_2306,23,N,M,Y,188,3
,,,sn_1205,19,N,F,Y,162,0
1,60explicit,ei,da_1505,26,Y,M,Y,176,1
2,60explicit,ie,at_1605,19,N,F,Y,160,3
3,60explicit,ei,ys_1605,23,Y,F,Y,163,3
4,60explicit,ie,im_1705,18,N,F,Y,173,3
5,60explicit,ei,ap_1705,19,N,M,Y,169,3
6,60explicit,ie,sm_1805,19,Y,M,Y,170,3
7,60explicit,ei,cn_2205,18,Y,F,Y,156,3
8,60explicit,ie,tp_2405,18,N,F,Y,164,3
9,60explicit,ei,ns_2405,21,N,F,Y,170,3
10,60explicit,ie,sd_2505,22,N,F,Y,170,1
11,60explicit,ei,nj_3105,19,N,M,Y,183,3
12,60explicit,ie,ak_0106,19,N,F,Y,160,3
13,60explicit,ei,mb_0206,25,Y,M,Y,175,3
14,60explicit,ie,bg_0705,22,Y,F,Y,156,1
15,60explicit,ei,vb_0706,25,N,M,Y,169,3
16,60explicit,ie,mw_0706,20,N,F,Y,165,3
17,60explicit,ei,mp_0906,19,N,F,Y,174,3
18,60explicit,ie,he_0906,18,Y,F,Y,163,0
19,60explicit,ei,pa_0906,23,N,F,Y,167,0
20,60explicit,ie,fm_1406,22,Y,F,Y,160,1
21,60explicit,ei,ag_1606,22,Y,F,Y,165,0
22,60explicit,ie,rr_2206,21,N,F,Y,153,3
23,60explicit,ei,ym_2206,22,N,F,Y,167,3
1,handview,ie,bb_3233,20,Y,F,Y,165,3
2,handview,ei,rg_0410,23,N,M,Y,,
3,handview,ie,bd_3235,18,Y,F,Y,176,0
4,handview,ei,bc_3234,24,Y,M,Y,171,3
5,handview,ie,be_3236,20,N,F,Y,175,3
6,handview,ei,bf_3237,21,N,M,Y,182,3
7,handview,ie,bg_3238,18,N,F,Y,159,3
8,handview,ei,bh_3239,20,Y,F,Y,158,3
9,handview,ie,bi_3240,17,N,F,Y,154,3
10,handview,ei,bj_3241,30,Y,F,Y,176,1
11,handview,ie,bk_3242,19,Y,F,Y,149,3
12,handview,ei,bl_3243,19,N,F,Y,160,3
13,handview,ie,bm_3244,21,Y,F,Y,175,3
14,handview,ei,bn_3245,18,N,F,Y,152,3
15,handview,ie,bo_3246,23,N,F,Y,161,1
16,handview,ei,bp_3247,18,N,M,Y,179,3
17,handview,ie,bq_3248,17,N,F,Y,162,3
18,handview,ei,br_3249,19,N,F,Y,162,3
19,handview,ie,bs_3250,19,Y,F,Y,173,3
20,handview,ei,bt_3251,19,N,F,Y,167,3
21,handview,ie,bu_3252,18,N,F,Y,180,3
22,handview,ei,bv_3253,20,N,F,Y,165,3
23,handview,ie,bw_3254,18,N,F,Y,179,3
24,handview,ei,bx_3255,18,N,F,Y,168,3
25,handview,ie,by_3256,18,N,F,Y,168,0
26,handview,ei,bz_3257,33,N,F,Y,161,3
27,handview,ie,ca_3259,18,Y,M,Y,199,3
28,handview,ei,cb_3260,17,N,F,Y,156,3
29,handview,ei,cc_3261,18,N,M,Y,186,3
1,handview,ie,bb_3232,25,Y,F,Y,160,1
