"agegroup","group","ID","participant","active_bool","localizationshift_deg","localizationshift_sd"
"cntrl","cursorjump","rk_1201",89,1,1.7251316533761,5.93277916222552
"cntrl","cursorjump","sm_2510",90,0,2.3123272027623,5.19673321471847
"cntrl","cursorjump","sm_2510",90,1,-0.599421431194713,7.83446282038132
"cntrl","cursorjump","jl_0211",91,0,-18.2460821109065,12.2932940092121
"cntrl","cursorjump","jl_0211",91,1,-0.797925838677519,8.9424983236735
"cntrl","cursorjump","ns_1311",92,0,-8.76826381535653,11.8653150215688
"cntrl","cursorjump","ns_1311",92,1,-16.8377175031776,9.12353703246268
"cntrl","cursorjump","sk_2410",93,0,-5.33339878467236,7.03927943627833
"cntrl","cursorjump","sk_2410",93,1,-10.036226490532,4.48585444435251
"cntrl","cursorjump","ps_2610",94,0,-3.64370067460412,5.38570823024967
"cntrl","cursorjump","ps_2610",94,1,-2.50439926739218,3.70494005457876
"cntrl","cursorjump","fk_2510",95,0,-14.1435084209222,9.62163899886433
"cntrl","cursorjump","fk_2510",95,1,-11.2052301487797,7.65349732645697
"cntrl","cursorjump","ja_2610",96,0,-4.95801706340592,7.32745010414122
"cntrl","cursorjump","ja_2610",96,1,-2.13276366126876,2.89496216615856
"cntrl","cursorjump","ls_1201",97,0,2.07584605377713,1.66914132655772
"cntrl","cursorjump","ls_1201",97,1,2.23651227493453,1.98785658293094
"cntrl","cursorjump","ms_2410",98,0,-7.89276756805518,4.24116754249383
"cntrl","cursorjump","ms_2410",98,1,-6.9344369708168,6.51561869219972
"cntrl","cursorjump","jy_2206",99,0,0.562600685519543,2.26004295839753
"cntrl","cursorjump","jy_2206",99,1,-2.02625757868672,1.72473397439862
"cntrl","org30implicit","nd_0212",128,0,0.927970304762394,8.19602248767617
"cntrl","org30implicit","nd_0212",128,1,-2.56222758311476,5.15877539229493
"cntrl","org30implicit","ta_0205",129,0,-1.04295056337186,8.20516086200861
"cntrl","org30implicit","ta_0205",129,1,-8.46812888195359,6.08443938713611
"cntrl","org30implicit","ae_0225",130,0,-7.99877058322574,6.57528443606835
"cntrl","org30implicit","ae_0225",130,1,-10.1392894379158,6.94303768629262
"cntrl","org30implicit","tp_0210",131,0,-16.6934158320527,4.73212845105147
"cntrl","org30implicit","tp_0210",131,1,-8.41124890431304,2.66872694134727
"cntrl","org30implicit","mp_0216",132,0,-6.00362706034237,4.66481948002002
"cntrl","org30implicit","mp_0216",132,1,-11.6332851076035,7.12195805293335
"cntrl","org30implicit","nm_0122",133,0,-1.99565926048884,4.80373439329811
"cntrl","org30implicit","nm_0122",133,1,-1.62415456023983,6.22108639931518
"cntrl","org30implicit","kn_0212",134,0,-3.19810341243993,3.89804242283743
"cntrl","org30implicit","kn_0212",134,1,-3.64107106105356,4.58779164582026
"cntrl","org30implicit","sk_0209",135,0,-3.20284517014839,11.3749348566692
"cntrl","org30implicit","sk_0209",135,1,-7.34931972039887,3.14646301894849
"cntrl","org30implicit","sk_0210",136,0,-12.6947463666743,6.03804908352012
"cntrl","org30implicit","sk_0210",136,1,-11.5032051879299,6.29553433890648
"cntrl","org30implicit","jv_1901",137,0,-14.1143061707172,8.42967441970688
"cntrl","org30implicit","jv_1901",137,1,-11.5353348008203,9.12555936279763
"cntrl","org30implicit","sm_2601",138,0,-7.61458896995183,8.53300749722602
"cntrl","org30implicit","sm_2601",138,1,-5.88905036945173,11.2867105309684
"cntrl","org30implicit","sh_0403",139,0,-13.6405802608035,4.42204958232247
"cntrl","org30implicit","sh_0403",139,1,-14.6327071326818,4.70551325098523
"cntrl","org30explicit","ha_1501",140,0,-0.164610727189667,2.04579943856908
"cntrl","org30explicit","ha_1501",140,1,-4.72634637602008,3.37193001179688
"cntrl","org30explicit","sb_1501",141,0,-3.52946212448043,9.71264770067099
"cntrl","org30explicit","sb_1501",141,1,-13.1161801878023,4.4132225231439
"cntrl","org30explicit","hp_0205",142,0,-10.0530195182883,13.8544012541467
"cntrl","org30explicit","hp_0205",142,1,-8.03770646136942,9.86578830426499
"cntrl","org30explicit","ap_1201",143,0,-13.2103550187435,15.0563937891882
"cntrl","org30explicit","ap_1201",143,1,-7.1858481702586,13.085427036817
"cntrl","org30explicit","sm_0122",144,0,-3.88257937111181,10.1000562416658
"cntrl","org30explicit","sm_0122",144,1,-6.65170467523417,8.28409728235084
"cntrl","org30explicit","kb_0209",145,0,-17.4675924805518,3.96502655823448
"cntrl","org30explicit","kb_0209",145,1,-19.9673209891844,4.0264495700503
"cntrl","org30explicit","pa_0216",146,0,-13.6587310514452,11.6554636522242
"cntrl","org30explicit","pa_0216",146,1,-9.34670831591261,8.03782581267111
"cntrl","org30explicit","op_1901",147,0,-2.52450942753684,4.49954080271723
"cntrl","org30explicit","op_1901",147,1,-13.4039957882987,6.19224523390925
"cntrl","org30explicit","te_0202",148,0,-5.86340373538485,4.15188557435373
"cntrl","org30explicit","te_0202",148,1,-8.1502499475626,5.94629270272617
"cntrl","org30explicit","sn_0310",149,0,-8.68150218978536,9.29666024584826
"cntrl","org30explicit","sn_0310",149,1,-12.8307403448303,12.1060694613182
"cntrl","org30explicit","dl_0127",150,0,-9.67899410397489,3.95891792994088
"cntrl","org30explicit","dl_0127",150,1,-11.8735964303373,3.48584891486829
"cntrl","org30explicit","ji_0216",151,0,-14.6451669428878,2.62235726796351
"cntrl","org30explicit","ji_0216",151,1,-12.1670027335345,3.56017396478129
"cntrl","org30explicit","am_0301",152,0,-5.18798894359407,4.50515770203958
"cntrl","org30explicit","am_0301",152,1,-5.79652452877812,2.39317978218684
"cntrl","60implicit","ab_2601",153,0,-15.0955723126802,10.9780176899116
"cntrl","60implicit","ab_2601",153,1,-17.6557874329319,13.7308599161621
"cntrl","60implicit","sp_0310",154,0,-30.5657069754297,6.45120743658742
"cntrl","60implicit","sp_0310",154,1,-38.0327105328717,16.3212542024989
"cntrl","60implicit","kh_1911",155,0,-8.81375558280054,7.59589239829161
"cntrl","60implicit","kh_1911",155,1,-10.0245166019716,8.03762985934141
"cntrl","60implicit","th_0710",156,0,-9.19283850299919,24.2652493592452
"cntrl","60implicit","th_0710",156,1,-11.788692783795,11.0557117087393
"cntrl","60implicit","am_2211",157,0,0.638517764276285,2.25722272591884
"cntrl","60implicit","am_2211",157,1,-2.65396132389378,2.41466380475542
"cntrl","60implicit","nl_3009",158,0,-37.8576740450427,6.81154886592321
"cntrl","60implicit","nl_3009",158,1,-21.4282508926759,25.293904932123
"cntrl","60implicit","mk_2301",159,0,0.274950737659327,4.10453511893601
"cntrl","60implicit","mk_2301",159,1,0.724201853196679,0.735423643494589
"cntrl","60implicit","mo_0710",160,0,-42.3154952739576,7.76186138892225
"cntrl","60implicit","mo_0710",160,1,-39.2373433753529,4.21477665771088
"cntrl","60implicit","jc_2710",161,0,-9.84578098450221,5.92501300291525
"cntrl","60implicit","jc_2710",161,1,-12.1517999834179,6.49549347891674
"cntrl","60implicit","cl_1701",162,0,-7.60961862223331,4.84648757738068
"cntrl","60implicit","cl_1701",162,1,-7.9415343830061,3.77710163804287
"cntrl","60implicit","mj_1411",163,0,-3.81794708407637,4.61810416174766
"cntrl","60implicit","mj_1411",163,1,-1.22233776402276,4.11668013708277
"cntrl","60implicit","cm_2710",164,0,-3.41287184703604,2.89546306097055
"cntrl","60implicit","cm_2710",164,1,-7.13491803825617,3.02180036900099
"cntrl","60implicit","fa_1301",165,0,-0.415044620476594,2.2123874433638
"cntrl","60implicit","fa_1301",165,1,-2.58141941543676,2.55210473893716
"cntrl","60implicit","dy_2511",166,0,0.430475767583231,10.1508617418534
