group,ID,trial,targetangle_deg,arcangle_deg,homex_cm,homey_cm,handx_cm,handy_cm,tapx_cm,tapy_cm,block,time_ms,selected,active
aging_implicit,jc_2309,533,78.196,50,0,0,2.4812,11.872,5.50359493989904,10.094414931298,4,3854,1,1
aging_implicit,jc_2309,534,111.88,130,0,0,-4.5335,11.29,-3.97660506010096,12.072414931298,4,3654,1,1
aging_implicit,jc_2309,535,69.313,50,0,0,4.266,11.297,4.74129493989904,11.126414931298,4,3949,1,1
aging_implicit,jc_2309,536,94.694,90,0,0,-0.9903,12.06,-1.26120506010096,12.072414931298,4,3389,1,1
aging_implicit,jc_2309,537,112.66,130,0,0,-4.6981,11.251,-4.31010506010096,12.072414931298,4,3726,1,1
aging_implicit,jc_2309,538,110.43,130,0,0,-4.229,11.355,-4.23860506010096,12.072414931298,4,4879,1,1
aging_implicit,jc_2309,539,66.229,50,0,0,4.8494,11.01,6.55159493989904,9.89441493129802,4,3529,1,1
aging_implicit,jc_2309,540,90.075,90,0,0,-0.0158,12.091,0.00129493989904317,12.072414931298,4,3370,1,1
aging_implicit,jc_2309,139,122.13,90,0,0,-5.9662,9.4994,-8.48347362692205,9.55310022680752,1,4628,1,0
aging_implicit,jc_2309,140,139.05,130,0,0,-8.5448,7.4151,-9.86497362692205,7.20310022680751,1,3688,1,0
aging_implicit,jc_2309,141,74.841,50,0,0,2.9569,10.914,4.85552637307795,10.5281002268075,1,2930,1,0
aging_implicit,jc_2309,142,40.145,50,0,0,9,7.5909,10.905526373078,2.50140022680751,1,3109,1,0
aging_implicit,jc_2309,143,98.281,90,0,0,-1.6227,11.15,0.258226373077953,11.7031002268075,1,2989,1,0
aging_implicit,jc_2309,144,122.7,130,0,0,-6.0185,9.3761,-5.57749362692205,11.7031002268075,1,3069,1,0
aging_implicit,jc_2309,145,111.13,90,0,0,-4.0024,10.356,-5.93478262692205,11.1591002268075,1,2949,1,0
aging_implicit,jc_2309,146,71.468,50,0,0,3.6115,10.773,6.88052637307795,11.3021002268075,1,3029,1,0
aging_implicit,jc_2309,147,113.85,130,0,0,-4.5715,10.341,-2.71917362692205,11.7031002268075,1,3009,1,0
aging_implicit,jc_2309,148,80.908,50,0,0,1.7964,11.225,3.95032637307795,11.7031002268075,1,3169,1,0
aging_implicit,jc_2309,149,118.39,130,0,0,-5.3435,9.8866,-6.00624062692205,11.7031002268075,1,3029,1,0
aging_implicit,jc_2309,150,98.237,90,0,0,-1.6085,11.111,-3.21937362692205,11.7031002268075,1,3049,1,0
aging_implicit,jc_2309,151,86.015,90,0,0,0.7974,11.448,1.52072637307795,11.7031002268075,1,3289,1,0
aging_implicit,jc_2309,152,83.839,50,0,0,1.2237,11.336,4.61752637307795,11.7031002268075,1,2829,1,0
aging_implicit,jc_2309,153,109.27,130,0,0,-3.6735,10.51,-3.95777362692205,11.7031002268075,1,2769,1,0
aging_implicit,jc_2309,154,99.425,90,0,0,-1.884,11.349,-3.98157362692205,11.7031002268075,1,3594,1,0
aging_implicit,jc_2309,155,79.328,50,0,0,2.1117,11.206,3.59302637307795,11.7031002268075,1,3349,1,0
aging_implicit,jc_2309,156,102.44,130,0,0,-2.3982,10.868,-3.62427362692205,11.7031002268075,1,3906,1,0
aging_implicit,jc_2309,283,129.34,130,0,0,-7.1298,8.7,-11.175073626922,6.68710022680751,2,3529,1,0
aging_implicit,jc_2309,284,73.775,50,0,0,3.1745,10.909,3.90262637307795,11.7031002268075,2,3113,1,0
aging_implicit,jc_2309,285,95.354,90,0,0,-1.0402,11.099,-0.408673626922047,11.7031002268075,2,3009,1,0
aging_implicit,jc_2309,286,109.54,130,0,0,-3.7303,10.51,-4.26737362692205,11.0151002268075,2,3317,1,0
aging_implicit,jc_2309,287,75.192,50,0,0,2.876,10.879,3.45012637307795,11.0731002268075,2,3416,1,0
aging_implicit,jc_2309,288,87.393,90,0,0,0.5136,11.281,3.16422637307795,10.0981002268075,2,2969,1,0
aging_implicit,jc_2309,289,90.946,90,0,0,-0.1849,11.193,-0.0989736269220467,11.7031002268075,2,9113,1,0
aging_implicit,jc_2309,290,72.105,50,0,0,3.5222,10.909,4.54552637307795,10.4711002268075,2,3780,1,0
aging_implicit,jc_2309,291,109.09,130,0,0,-3.6137,10.443,-3.21937362692205,11.0731002268075,2,2690,1,0
aging_implicit,jc_2309,292,109.9,90,0,0,-3.811,10.528,-5.05346362692205,10.0981002268075,2,2755,1,0
