"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
69,135,-3.4831,-6.3912,-3.4831,-6.3912,528,395,0,-8.5,-8.4853,-0.014719,1,0,1040,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.1088,148.807707354775,-13.8077073547751,FALSE,"hd_0310"
70,135,-4.482,-4.7874,-4.482,-4.7874,528,395,0,-8.5,-8.4853,-0.014719,1,0,1221,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,3.7126,140.363838880807,-5.36383888080718,FALSE,"hd_0310"
71,45,3.272,-5.5513,3.272,-5.5513,528,395,0,-8.5,8.4853,-0.014719,1,0,800,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.9487,42.024920885669,2.97507911433101,FALSE,"hd_0310"
72,90,0.6312,-3.146,0.6312,-3.146,528,395,0,-8.5,0,3.5,1,0,980,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.354,83.2762553045889,6.72374469541114,FALSE,"hd_0310"
91,90,-0.0158,-3.8364,-0.0158,-3.8364,528,395,0,-8.5,0,3.5,1,0,3121,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.6636,90.1941139576104,-0.19411395761044,FALSE,"hd_0310"
92,45,3.616,-5.6241,3.616,-5.6241,528,395,0,-8.5,8.4853,-0.014719,1,0,980,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.8759,38.4961540604677,6.50384593953228,FALSE,"hd_0310"
93,135,-3.273,-5.9892,-3.273,-5.9892,528,395,0,-8.5,-8.4853,-0.014719,1,0,960,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.5108,142.507286281519,-7.50728628151941,FALSE,"hd_0310"
94,90,0.2219,-2.8076,0.2219,-2.8076,528,395,0,-8.5,0,3.5,1,0,881,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.6924,87.7676376590433,2.23236234095673,FALSE,"hd_0310"
95,135,-5.0352,-4.6215,-5.0352,-4.6215,528,395,0,-8.5,-8.4853,-0.014719,1,0,841,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,3.8785,142.393757717517,-7.39375771751679,FALSE,"hd_0310"
96,45,2.974,-5.7909,2.974,-5.7909,528,395,0,-8.5,8.4853,-0.014719,1,0,660,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.7091,42.3312673889975,2.66873261100249,FALSE,"hd_0310"
97,90,0.4745,-4.273,0.4745,-4.273,528,395,0,-8.5,0,3.5,1,0,1040,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.227,83.5951009042052,6.40489909579485,FALSE,"hd_0310"
98,45,3.3764,-5.2401,3.3764,-5.2401,528,395,0,-8.5,8.4853,-0.014719,1,0,880,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.2599,43.9942780237312,1.00572197626879,FALSE,"hd_0310"
99,135,-3.5606,-6.3047,-3.5606,-6.3047,528,395,0,-8.5,-8.4853,-0.014719,1,0,920,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.1953,148.343951297673,-13.3439512976728,FALSE,"hd_0310"
109,90,0.3491,-6.321,0.3491,-6.321,528,395,0,-8.5,0,3.5,2,0,1061,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,2.179,80.8979298995707,9.10207010042933,FALSE,"hd_0310"
110,45,2.88,-5.7138,2.88,-5.7138,528,395,0,-8.5,8.4853,-0.014719,2,0,680,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.7862,44.0515948498707,0.948405150129339,FALSE,"hd_0310"
111,135,-3.313,-6.1841,-3.313,-6.1841,528,395,0,-8.5,-8.4853,-0.014719,2,0,900,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.3159,145.045138625537,-10.0451386255372,FALSE,"hd_0310"
112,135,-4.3867,-5.5608,-4.3867,-5.5608,528,395,0,-8.5,-8.4853,-0.014719,2,0,900,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.9392,146.176914174018,-11.1769141740185,FALSE,"hd_0310"
113,90,0.1708,-5.775,0.1708,-5.775,528,395,0,-8.5,0,3.5,2,0,801,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,2.725,86.4134554603387,3.58654453966128,FALSE,"hd_0310"
114,45,2.073,-6.3331,2.073,-6.3331,528,395,0,-8.5,8.4853,-0.014719,2,0,180,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.1669,46.2687078354649,-1.26870783546488,FALSE,"hd_0310"
115,90,0.4163,-4.1987,0.4163,-4.1987,528,395,0,-8.5,0,3.5,2,0,1160,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.3013,84.4718638563079,5.52813614369205,FALSE,"hd_0310"
116,135,-3.4188,-5.9851,-3.4188,-5.9851,528,395,0,-8.5,-8.4853,-0.014719,2,0,920,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.5149,143.661466127621,-8.66146612762111,FALSE,"hd_0310"
117,45,3.5263,-5.4016,3.5263,-5.4016,528,395,0,-8.5,8.4853,-0.014719,2,0,960,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.0984,41.3043075538402,3.6956924461598,FALSE,"hd_0310"
136,135,-1.7438,-6.8794,-1.7438,-6.8794,528,395,0,-8.5,-8.4853,-0.014719,2,0,1040,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,1.6206,137.097160692798,-2.09716069279787,FALSE,"hd_0310"
137,45,3.8534,-4.9384,3.8534,-4.9384,528,395,0,-8.5,8.4853,-0.014719,2,0,820,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.5616,42.746421309139,2.253578690861,FALSE,"hd_0310"
138,90,0.7986,-5.7177,0.7986,-5.7177,528,395,0,-8.5,0,3.5,2,0,662,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,2.7823,73.9850007985024,16.0149992014976,FALSE,"hd_0310"
139,135,-2.853,-6.1154,-2.853,-6.1154,528,395,0,-8.5,-8.4853,-0.014719,2,0,840,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.3846,140.110382268274,-5.11038226827409,FALSE,"hd_0310"
140,90,0.6845,-4.6747,0.6845,-4.6747,528,395,0,-8.5,0,3.5,2,0,841,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,3.8253,79.8548527744727,10.1451472255273,FALSE,"hd_0310"
141,45,4.3036,-4.949,4.3036,-4.949,528,395,0,-8.5,8.4853,-0.014719,2,0,941,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.551,39.5268295330807,5.47317046691933,FALSE,"hd_0310"
142,45,3.9386,-5.5873,3.9386,-5.5873,528,395,0,-8.5,8.4853,-0.014719,2,0,660,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.9127,36.4839157898971,8.51608421010286,FALSE,"hd_0310"
143,135,-2.9743,-6.3399,-2.9743,-6.3399,528,395,0,-8.5,-8.4853,-0.014719,2,0,980,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.1601,144.010787048506,-9.01078704850627,FALSE,"hd_0310"
144,90,-0.1721,-2.8048,-0.1721,-2.8048,528,395,0,-8.5,0,3.5,2,0,1201,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.6952,91.7308617577466,-1.73086175774657,FALSE,"hd_0310"
163,90,0.5444,-3.4711,0.5444,-3.4711,528,395,0,-8.5,0,3.5,2,0,1441,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.0289,83.8215461753238,6.1784538246762,FALSE,"hd_0310"
164,45,3.4858,-5.4036,3.4858,-5.4036,528,395,0,-8.5,8.4853,-0.014719,2,0,960,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.0964,41.6143534551561,3.38564654484392,FALSE,"hd_0310"
165,135,-3.2912,-6.5762,-3.2912,-6.5762,528,395,0,-8.5,-8.4853,-0.014719,2,0,840,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,1.9238,149.692499599806,-14.6924995998058,FALSE,"hd_0310"
166,45,3.08,-5.7891,3.08,-5.7891,528,395,0,-8.5,8.4853,-0.014719,2,0,681,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.7109,41.3530187177192,3.64698128228076,FALSE,"hd_0310"
167,90,0.5994,-3.9061,0.5994,-3.9061,528,395,0,-8.5,0,3.5,2,0,981,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.5939,82.5661926611899,7.43380733881006,FALSE,"hd_0310"
168,135,-4.3523,-5.2258,-4.3523,-5.2258,528,395,0,-8.5,-8.4853,-0.014719,2,0,1120,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,3.2742,143.046152708277,-8.04615270827748,FALSE,"hd_0310"
169,135,-3.097,-5.4246,-3.097,-5.4246,528,395,0,-8.5,-8.4853,-0.014719,2,0,860,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,3.0754,135.200502849074,-0.2005028490737,FALSE,"hd_0310"
170,45,3.5482,-5.4061,3.5482,-5.4061,528,395,0,-8.5,8.4853,-0.014719,2,0,780,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.0939,41.0872320182435,3.91276798175648,FALSE,"hd_0310"
171,90,0.6903,-4.231,0.6903,-4.231,528,395,0,-8.5,0,3.5,2,0,941,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.269,80.8147414791624,9.18525852083764,FALSE,"hd_0310"
181,45,3.4952,-5.5406,3.4952,-5.5406,528,395,0,-8.5,8.4853,-0.014719,3,0,1221,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.9594,40.2547244597113,4.74527554028874,FALSE,"hd_0310"
182,90,0.4959,-3.7418,0.4959,-3.7418,528,395,0,-8.5,0,3.5,3,0,801,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.7582,84.0501092719085,5.94989072809148,FALSE,"hd_0310"
183,135,-4.8695,-4.5277,-4.8695,-4.5277,528,395,0,-8.5,-8.4853,-0.014719,3,0,1301,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,3.9723,140.79411649308,-5.79411649308031,FALSE,"hd_0310"
184,90,-0.021,-2.5391,-0.021,-2.5391,528,395,0,-8.5,0,3.5,3,0,1241,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.9609,90.2018497864472,-0.201849786447184,FALSE,"hd_0310"
185,45,3.4086,-5.292,3.4086,-5.292,528,395,0,-8.5,8.4853,-0.014719,3,0,680,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.208,43.2634564825119,1.73654351748805,FALSE,"hd_0310"
186,135,-2.7637,-6.442,-2.7637,-6.442,528,395,0,-8.5,-8.4853,-0.014719,3,0,580,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.058,143.326643453223,-8.32664345322345,FALSE,"hd_0310"
187,90,-0.2524,-3.63,-0.2524,-3.63,528,395,0,-8.5,0,3.5,3,0,461,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.87,92.966843391053,-2.966843391053,FALSE,"hd_0310"
188,45,3.2946,-4.563,3.2946,-4.563,528,395,0,-8.5,8.4853,-0.014719,3,0,540,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.937,50.0763936242173,-5.07639362421727,FALSE,"hd_0310"
