group,version,participant,age,corrected_vision,sex,right_handed,height_cm,awareness
60implicit,ei,cl_1701,36,Y,F,Y,164,3
60implicit,ie,mk_2301,18,N,F,Y,153,3
60implicit,ei,ab_2601,19,N,F,Y,158,1
60implicit,ie,hk_0702,19,Y,M,Y,168,1
cursorjump,ie,mc_2110,19,Y,F,Y,169,1
cursorjump,ei,ms_2410,19,Y,M,Y,174,1
cursorjump,ie,sk_2410,19,N,F,Y,171,1
cursorjump,ei,fk_2510,19,N,F,Y,153,1
cursorjump,ie,sm_2510,18,Y,F,Y,162,0
cursorjump,ei,ps_2610,21,Y,F,Y,165,1
cursorjump,ie,ja_2610,21,Y,M,Y,177,3
cursorjump,ei,jl_0211,26,N,M,Y,180,3
cursorjump,ei,ns_1311,19,N,F,Y,161,3
cursorjump,ie,oi_2006,18,N,F,Y,173,3
cursorjump,ei,pa_2006,20,N,M,Y,168,3
cursorjump,ie,pn_2106,42,N,F,Y,162,1
cursorjump,ei,cr_2106,29,Y,F,Y,163,3
cursorjump,ie,cr_2206,26,N,F,Y,165,3
cursorjump,ie,jy_2206,20,N,M,Y,172,3
cursorjump,ei,ar_1908,23,N,M,Y,187,3
cursorjump,ie,cp_1201,18,Y,F,Y,150,3
cursorjump,ei,ls_1201,19,N,F,Y,162,3
cursorjump,ie,rk_1201,21,Y,F,Y,161,3
cursorjump,ei,va_0202,18,N,F,Y,167,3
aging_explicit,ie,mm_2306,65,Y,F,Y,160,3
aging_explicit,ei,gj_2906,69,N,F,Y,165,2
aging_explicit,ie,mw_3006,75,Y,F,Y,165,1
aging_explicit,ei,hb_0407,77,Y,F,Y,166,3
aging_explicit,ie,ta_0607,75,Y,M,Y,180,3
aging_explicit,ei,jn_0203,60,Y,F,Y,173,2
aging_explicit,ei,mo_0707,77,Y,M,Y,165,0
aging_explicit,ie,mv_0807,72,Y,F,Y,165,1
aging_explicit,ie,pe_1207,72,Y,F,Y,172,2
aging_explicit,ei,pc_0504,69,Y,F,Y,158,3
aging_explicit,ie,mj_2706,62,Y,M,Y,169,1
