ID,instruction,rotation,age,version,folder,aligned_train,aligned_nocursor,aligned_activetap,aligned_passivetap,rotated_train,rotated_nocursor,rotated_activetap,rotated_passivetap,calibration
mc_2110,cursorjump,30,younger,IE,cursorjump,mc_2110_align_explicit_train_selected.txt,mc_2110_align_explicit_no_cursor_selected.txt,mc_2110_align_explicit_active_tap_selected.txt,mc_2110_align_explicit_passive_tap_selected.txt,mc_2110_explicit_jump_IE_train_selected.txt,mc_2110_explicit_jump_IE_no_cursor_selected.txt,mc_2110_explicit_jump_IE_active_tap_selected.txt,mc_2110_explicit_jump_IE_passive_tap_selected.txt,mc_2110_explicit_calibration.txt
oi_2006,cursorjump,30,younger,IE,cursorjump,oi_2006_align_explicit_train_selected.txt,oi_2006_align_explicit_no_cursor_selected.txt,oi_2006_align_explicit_active_tap_selected.txt,oi_2006_align_explicit_passive_tap_selected.txt,oi_2006_explicit_jump_IE_train_selected.txt,oi_2006_explicit_jump_IE_no_cursor_selected.txt,oi_2006_explicit_jump_IE_active_tap_selected.txt,oi_2006_explicit_jump_IE_passive_tap_selected.txt,oi_2006_explicit_calibration.txt
pn_2106,cursorjump,30,younger,IE,cursorjump,pn_2106_align_explicit_train_selected.txt,pn_2106_align_explicit_no_cursor_selected.txt,pn_2106_align_explicit_active_tap_selected.txt,pn_2106_align_explicit_passive_tap_selected.txt,pn_2106_explicit_jump_IE_train_selected.txt,pn_2106_explicit_jump_IE_no_cursor_selected.txt,pn_2106_explicit_jump_IE_active_tap_selected.txt,pn_2106_explicit_jump_IE_passive_tap_selected.txt,pn_2106_explicit_calibration.txt
va_0202,cursorjump,30,younger,EI,cursorjump,va_0202_align_explicit_train_selected.txt,va_0202_align_explicit_no_cursor_selected.txt,va_0202_align_explicit_active_tap_selected.txt,va_0202_align_explicit_passive_tap_selected.txt,va_0202_explicit_Jump_EI_train_selected.txt,va_0202_explicit_Jump_EI_no_cursor_selected.txt,va_0202_explicit_Jump_EI_active_tap_selected.txt,va_0202_explicit_Jump_EI_passive_tap_selected.txt,va_0202_explicit_calibration.txt
pa_2006,cursorjump,30,younger,EI,cursorjump,pa_2006_align_explicit_train_selected.txt,pa_2006_align_explicit_no_cursor_selected.txt,pa_2006_align_explicit_active_tap_selected.txt,pa_2006_align_explicit_passive_tap_selected.txt,pa_2006_explicit_Jump_EI_train_selected.txt,pa_2006_explicit_Jump_EI_no_cursor_selected.txt,pa_2006_explicit_Jump_EI_active_tap_selected.txt,pa_2006_explicit_Jump_EI_passive_tap_selected.txt,pa_2006_explicit_calibration.txt
rk_1201,cursorjump,30,younger,IE,cursorjump,rk_1201_align_explicit_train_selected.txt,rk_1201_align_explicit_no_cursor_selected.txt,rk_1201_align_explicit_active_tap_selected.txt,rk_1201_align_explicit_passive_tap_selected.txt,rk_1201_explicit_jump_IE_train_selected.txt,rk_1201_explicit_jump_IE_no_cursor_selected.txt,rk_1201_explicit_jump_IE_active_tap_selected.txt,rk_1201_explicit_jump_IE_passive_tap_selected.txt,rk_1201_explicit_calibration.txt
sm_2510,cursorjump,30,younger,IE,cursorjump,sm_2510_align_explicit_train_selected.txt,sm_2510_align_explicit_no_cursor_selected.txt,sm_2510_align_explicit_active_tap_selected.txt,sm_2510_align_explicit_passive_tap_selected.txt,sm_2510_explicit_jump_IE_train_selected.txt,sm_2510_explicit_jump_IE_no_cursor_selected.txt,sm_2510_explicit_jump_IE_active_tap_selected.txt,sm_2510_explicit_jump_IE_passive_tap_selected.txt,sm_2510_explicit_calibration.txt
jl_0211,cursorjump,30,younger,IE,cursorjump,jl_0211_align_explicit_train_selected.txt,jl_0211_align_explicit_no_cursor_selected.txt,jl_0211_align_explicit_active_tap_selected.txt,jl_0211_align_explicit_passive_tap_selected.txt,jl_0211_explicit_jump_IE_train_selected.txt,jl_0211_explicit_jump_IE_no_cursor_selected.txt,jl_0211_explicit_jump_IE_active_tap_selected.txt,jl_0211_explicit_jump_IE_passive_tap_selected.txt,jl_0211_explicit_calibration.txt
ns_1311,cursorjump,30,younger,IE,cursorjump,ns_1311_align_explicit_train_selected.txt,ns_1311_align_explicit_no_cursor_selected.txt,ns_1311_align_explicit_active_tap_selected.txt,ns_1311_align_explicit_passive_tap_selected.txt,ns_1311_explicit_jump_IE_train_selected.txt,ns_1311_explicit_jump_IE_no_cursor_selected.txt,ns_1311_explicit_jump_IE_active_tap_selected.txt,ns_1311_explicit_jump_IE_passive_tap_selected.txt,ns_1311_explicit_calibration.txt
sk_2410,cursorjump,30,younger,IE,cursorjump,sk_2410_align_explicit_train_selected.txt,sk_2410_align_explicit_no_cursor_selected.txt,sk_2410_align_explicit_active_tap_selected.txt,sk_2410_align_explicit_passive_tap_selected.txt,sk_2410_explicit_jump_IE_train_selected.txt,sk_2410_explicit_jump_IE_no_cursor_selected.txt,sk_2410_explicit_jump_IE_active_tap_selected.txt,sk_2410_explicit_jump_IE_passive_tap_selected.txt,sk_2410_explicit_calibration.txt
ps_2610,cursorjump,30,younger,EI,cursorjump,ps_2610_align_explicit_train_selected.txt,ps_2610_align_explicit_no_cursor_selected.txt,ps_2610_align_explicit_active_tap_selected.txt,ps_2610_align_explicit_passive_tap_selected.txt,ps_2610_explicit_Jump_EI_train_selected.txt,ps_2610_explicit_Jump_EI_no_cursor_selected.txt,ps_2610_explicit_Jump_EI_active_tap_selected.txt,ps_2610_explicit_Jump_EI_passive_tap_selected.txt,ps_2610_explicit_calibration.txt
fk_2510,cursorjump,30,younger,EI,cursorjump,fk_2510_align_explicit_train_selected.txt,fk_2510_align_explicit_no_cursor_selected.txt,fk_2510_align_explicit_active_tap_selected.txt,fk_2510_align_explicit_passive_tap_selected.txt,fk_2510_explicit_Jump_EI_train_selected.txt,fk_2510_explicit_Jump_EI_no_cursor_selected.txt,fk_2510_explicit_Jump_EI_active_tap_selected.txt,fk_2510_explicit_Jump_EI_passive_tap_selected.txt,fk_2510_explicit_calibration.txt
ja_2610,cursorjump,30,younger,IE,cursorjump,ja_2610_align_explicit_train_selected.txt,ja_2610_align_explicit_no_cursor_selected.txt,ja_2610_align_explicit_active_tap_selected.txt,ja_2610_align_explicit_passive_tap_selected.txt,ja_2610_explicit_jump_IE_train_selected.txt,ja_2610_explicit_jump_IE_no_cursor_selected.txt,ja_2610_explicit_jump_IE_active_tap_selected.txt,ja_2610_explicit_jump_IE_passive_tap_selected.txt,ja_2610_explicit_calibration.txt
ls_1201,cursorjump,30,younger,EI,cursorjump,ls_1201_align_explicit_train_selected.txt,ls_1201_align_explicit_no_cursor_selected.txt,ls_1201_align_explicit_active_tap_selected.txt,ls_1201_align_explicit_passive_tap_selected.txt,ls_1201_explicit_Jump_EI_train_selected.txt,ls_1201_explicit_Jump_EI_no_cursor_selected.txt,ls_1201_explicit_Jump_EI_active_tap_selected.txt,ls_1201_explicit_Jump_EI_passive_tap_selected.txt,ls_1201_explicit_calibration.txt
ms_2410,cursorjump,30,younger,EI,cursorjump,ms_2410_align_explicit_train_selected.txt,ms_2410_align_explicit_no_cursor_selected.txt,ms_2410_align_explicit_active_tap_selected.txt,ms_2410_align_explicit_passive_tap_selected.txt,ms_2410_explicit_Jump_EI_train_selected.txt,ms_2410_explicit_Jump_EI_no_cursor_selected.txt,ms_2410_explicit_Jump_EI_active_tap_selected.txt,ms_2410_explicit_Jump_EI_passive_tap_selected.txt,ms_2410_explicit_calibration.txt
jy_2206,cursorjump,30,younger,IE,cursorjump,jy_2206_align_explicit_train_selected.txt,jy_2206_align_explicit_no_cursor_selected.txt,jy_2206_align_explicit_active_tap_selected.txt,jy_2206_align_explicit_passive_tap_selected.txt,jy_2206_explicit_jump_IE_train_selected.txt,jy_2206_explicit_jump_IE_no_cursor_selected.txt,jy_2206_explicit_jump_IE_active_tap_selected.txt,jy_2206_explicit_jump_IE_passive_tap_selected.txt,jy_2206_explicit_calibration.txt
mm_2306,explicit,30,older,IE,aging_explicit,mm_2306_align_explicit_train_selected.txt,mm_2306_align_explicit_no_cursor_selected.txt,mm_2306_align_explicit_active_tap_selected.txt,mm_2306_align_explicit_passive_tap_selected.txt,mm_2306_rotated_explicit_IE_train_selected.txt,mm_2306_rotated_explicit_IE_no_cursor_selected.txt,mm_2306_rotated_explicit_IE_active_tap_selected.txt,mm_2306_rotated_explicit_IE_passive_tap_selected.txt,mm_2306_explicit_calibration.txt
ta_0607,explicit,30,older,IE,aging_explicit,ta_0607_align_explicit_train_selected.txt,ta_0607_align_explicit_no_cursor_selected.txt,ta_0607_align_explicit_active_tap_selected.txt,ta_0607_align_explicit_passive_tap_selected.txt,ta_0607_rotated_explicit_IE_train_selected.txt,ta_0607_rotated_explicit_IE_no_cursor_selected.txt,ta_0607_rotated_explicit_IE_active_tap_selected.txt,ta_0607_rotated_explicit_IE_passive_tap_selected.txt,ta_0607_explicit_calibration.txt
pc_0504,explicit,30,older,EI,aging_explicit,pc_0504_align_explicit_train_selected.txt,pc_0504_align_explicit_no_cursor_selected.txt,pc_0504_align_explicit_active_tap_selected.txt,pc_0504_align_explicit_passive_tap_selected.txt,pc_0504_rotated_explicit_EI_train_selected.txt,pc_0504_rotated_explicit_EI_no_cursor_selected.txt,pc_0504_rotated_explicit_EI_active_tap_selected.txt,pc_0504_rotated_explicit_EI_passive_tap_selected.txt,pc_0504_explicit_calibration.txt
pe_1207,explicit,30,older,IE,aging_explicit,pe_1207_align_explicit_train_selected.txt,pe_1207_align_explicit_no_cursor_selected.txt,pe_1207_align_explicit_active_tap_selected.txt,pe_1207_align_explicit_passive_tap_selected.txt,pe_1207_rotated_explicit_IE_train_selected.txt,pe_1207_rotated_explicit_IE_no_cursor_selected.txt,pe_1207_rotated_explicit_IE_active_tap_selected.txt,pe_1207_rotated_explicit_IE_passive_tap_selected.txt,pe_1207_explicit_calibration.txt
mn_1307,explicit,30,older,EI,aging_explicit,mn_1307_align_explicit_train_selected.txt,mn_1307_align_explicit_no_cursor_selected.txt,mn_1307_align_explicit_active_tap_selected.txt,mn_1307_align_explicit_passive_tap_selected.txt,mn_1307_rotated_explicit_EI_train_selected.txt,mn_1307_rotated_explicit_EI_no_cursor_selected.txt,mn_1307_rotated_explicit_EI_active_tap_selected.txt,mn_1307_rotated_explicit_EI_passive_tap_selected.txt,mn_1307_explicit_calibration.txt
mw_3006,explicit,30,older,IE,aging_explicit,mw_3006_align_explicit_train_selected.txt,mw_3006_align_explicit_no_cursor_selected.txt,mw_3006_align_explicit_active_tap_selected.txt,mw_3006_align_explicit_passive_tap_selected.txt,mw_3006_rotated_explicit_IE_train_selected.txt,mw_3006_rotated_explicit_IE_no_cursor_selected.txt,mw_3006_rotated_explicit_IE_active_tap_selected.txt,mw_3006_rotated_explicit_IE_passive_tap_selected.txt,mw_3006_explicit_calibration.txt
mj_2706,explicit,30,older,IE,aging_explicit,mj_2706_align_explicit_train_selected.txt,mj_2706_align_explicit_no_cursor_selected.txt,mj_2706_align_explicit_active_tap_selected.txt,mj_2706_align_explicit_passive_tap_selected.txt,mj_2706_rotated_explicit_IE_train_selected.txt,mj_2706_rotated_explicit_IE_no_cursor_selected.txt,mj_2706_rotated_explicit_IE_active_tap_selected.txt,mj_2706_rotated_explicit_IE_passive_tap_selected.txt,mj_2706_explicit_calibration.txt
cp_2509,explicit,30,older,EI,aging_explicit,cp_2509_align_explicit_train_selected.txt,cp_2509_align_explicit_no_cursor_selected.txt,cp_2509_align_explicit_active_tap_selected.txt,cp_2509_align_explicit_passive_tap_selected.txt,cp_2509_rotated_explicit_EI_train_selected.txt,cp_2509_rotated_explicit_EI_no_cursor_selected.txt,cp_2509_rotated_explicit_EI_active_tap_selected.txt,cp_2509_rotated_explicit_EI_passive_tap_selected.txt,cp_2509_explicit_calibration.txt
mm_0510,explicit,30,older,IE,aging_explicit,mm_0510_align_explicit_train_selected.txt,mm_0510_align_explicit_no_cursor_selected.txt,mm_0510_align_explicit_active_tap_selected.txt,mm_0510_align_explicit_passive_tap_selected.txt,mm_0510_rotated_explicit_IE_train_selected.txt,mm_0510_rotated_explicit_IE_no_cursor_selected.txt,mm_0510_rotated_explicit_IE_active_tap_selected.txt,mm_0510_rotated_explicit_IE_passive_tap_selected.txt,mm_0510_explicit_calibration.txt
cp_0412,explicit,30,older,IE,aging_explicit,cp_0412_align_explicit_train_selected.txt,cp_0412_align_explicit_no_cursor_selected.txt,cp_0412_align_explicit_active_tap_selected.txt,cp_0412_align_explicit_passive_tap_selected.txt,cp_0412_rotated_explicit_IE_train_selected.txt,cp_0412_rotated_explicit_IE_no_cursor_selected.txt,cp_0412_rotated_explicit_IE_active_tap_selected.txt,cp_0412_rotated_explicit_IE_passive_tap_selected.txt,cp_0412_explicit_calibration.txt
bd_0707,explicit,30,older,IE,aging_explicit,bd_0707_align_explicit_train_selected.txt,bd_0707_align_explicit_no_cursor_selected.txt,bd_0707_align_explicit_active_tap_selected.txt,bd_0707_align_explicit_passive_tap_selected.txt,bd_0707_rotated_explicit_IE_train_selected.txt,bd_0707_rotated_explicit_IE_no_cursor_selected.txt,bd_0707_rotated_explicit_IE_active_tap_selected.txt,bd_0707_rotated_explicit_IE_passive_tap_selected.txt,bd_0707_explicit_calibration.txt
mo_0707,explicit,30,older,EI,aging_explicit,mo_0707_align_explicit_train_selected.txt,mo_0707_align_explicit_no_cursor_selected.txt,mo_0707_align_explicit_active_tap_selected.txt,mo_0707_align_explicit_passive_tap_selected.txt,mo_0707_rotated_explicit_EI_train_selected.txt,mo_0707_rotated_explicit_EI_no_cursor_selected.txt,mo_0707_rotated_explicit_EI_active_tap_selected.txt,mo_0707_rotated_explicit_EI_passive_tap_selected.txt,mo_0707_explicit_calibration.txt
gj_2906,explicit,30,older,EI,aging_explicit,gj_2906_align_explicit_train_selected.txt,gj_2906_align_explicit_no_cursor_selected.txt,gj_2906_align_explicit_active_tap_selected.txt,gj_2906_align_explicit_passive_tap_selected.txt,gj_2906_rotated_explicit_EI_train_selected.txt,gj_2906_rotated_explicit_EI_no_cursor_selected.txt,gj_2906_rotated_explicit_EI_active_tap_selected.txt,gj_2906_rotated_explicit_EI_passive_tap_selected.txt,gj_2906_explicit_calibration.txt
jn_0203,explicit,30,older,EI,aging_explicit,jn_0203_align_explicit_train_selected.txt,jn_0203_align_explicit_no_cursor_selected.txt,jn_0203_align_explicit_active_tap_selected.txt,jn_0203_align_explicit_passive_tap_selected.txt,jn_0203_rotated_explicit_EI_train_selected.txt,jn_0203_rotated_explicit_EI_no_cursor_selected.txt,jn_0203_rotated_explicit_EI_active_tap_selected.txt,jn_0203_rotated_explicit_EI_passive_tap_selected.txt,jn_0203_explicit_calibration.txt
js_2806,explicit,30,older,EI,aging_explicit,js_2806_align_explicit_train_selected.txt,js_2806_align_explicit_no_cursor_selected.txt,js_2806_align_explicit_active_tap_selected.txt,js_2806_align_explicit_passive_tap_selected.txt,js_2806_rotated_explicit_EI_train_selected.txt,js_2806_rotated_explicit_EI_no_cursor_selected.txt,js_2806_rotated_explicit_EI_active_tap_selected.txt,js_2806_rotated_explicit_EI_passive_tap_selected.txt,js_2806_explicit_calibration.txt
mv_0807,explicit,30,older,IE,aging_explicit,mv_0807_align_explicit_train_selected.txt,mv_0807_align_explicit_no_cursor_selected.txt,mv_0807_align_explicit_active_tap_selected.txt,mv_0807_align_explicit_passive_tap_selected.txt,mv_0807_rotated_explicit_IE_train_selected.txt,mv_0807_rotated_explicit_IE_no_cursor_selected.txt,mv_0807_rotated_explicit_IE_active_tap_selected.txt,mv_0807_rotated_explicit_IE_passive_tap_selected.txt,mv_0807_explicit_calibration.txt
nb_1807,explicit,30,older,IE,aging_explicit,nb_1807_align_explicit_train_selected.txt,nb_1807_align_explicit_no_cursor_selected.txt,nb_1807_align_explicit_active_tap_selected.txt,nb_1807_align_explicit_passive_tap_selected.txt,nb_1807_rotated_explicit_IE_train_selected.txt,nb_1807_rotated_explicit_IE_no_cursor_selected.txt,nb_1807_rotated_explicit_IE_active_tap_selected.txt,nb_1807_rotated_explicit_IE_passive_tap_selected.txt,nb_1807_explicit_calibration.txt
