"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
42,45,3.5078,-3.3075,3.5078,-3.3075,528,395,0,-8.5,8.4853,-0.014719,1,0,421,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,5.1925,55.9589564371283,-10.9589564371283,FALSE,"bw_3254"
43,45,3.7037,-4.4023,3.7037,-4.4023,528,395,0,-8.5,8.4853,-0.014719,1,0,421,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.0977,47.8911956001685,-2.89119560016846,FALSE,"bw_3254"
44,90,-1.2097,-2.9679,-1.2097,-2.9679,528,395,0,-8.5,0,3.5,1,0,381,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,5.5321,102.334670290247,-12.3346702902472,FALSE,"bw_3254"
45,135,-4.4535,-4.7608,-4.4535,-4.7608,528,395,0,-8.5,-8.4853,-0.014719,1,0,361,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.7392,139.982868070236,-4.98286807023644,FALSE,"bw_3254"
64,45,4.258,-3.9794,4.258,-3.9794,528,395,0,-8.5,8.4853,-0.014719,1,0,1221,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.5206,46.7134151564377,-1.7134151564377,FALSE,"bw_3254"
65,90,-1.2546,-3.5346,-1.2546,-3.5346,528,395,0,-8.5,0,3.5,1,0,461,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.9654,104.180051062924,-14.1800510629244,FALSE,"bw_3254"
66,135,-5.3093,-4.9054,-5.3093,-4.9054,528,395,0,-8.5,-8.4853,-0.014719,1,0,461,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.5946,145.900490906747,-10.9004909067474,FALSE,"bw_3254"
67,135,-4.6409,-4.9416,-4.6409,-4.9416,528,395,0,-8.5,-8.4853,-0.014719,1,0,361,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,3.5584,142.52089176572,-7.52089176571965,FALSE,"bw_3254"
68,90,-0.3789,-3.2854,-0.3789,-3.2854,528,395,0,-8.5,0,3.5,1,0,461,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,5.2146,94.1558864131304,-4.15588641313037,FALSE,"bw_3254"
69,45,2.6014,-4.1855,2.6014,-4.1855,528,395,0,-8.5,8.4853,-0.014719,1,0,201,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,4.3145,58.9123944197837,-13.9123944197837,FALSE,"bw_3254"
70,45,3.5718,-4.7347,3.5718,-4.7347,528,395,0,-8.5,8.4853,-0.014719,1,0,361,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,3.7653,46.5107009634993,-1.51070096349932,FALSE,"bw_3254"
71,135,-3.247,-4.3191,-3.247,-4.3191,528,395,0,-8.5,-8.4853,-0.014719,1,0,321,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,4.1809,127.833879840158,7.16612015984218,FALSE,"bw_3254"
72,90,-0.647,-3.7145,-0.647,-3.7145,528,395,0,-8.5,0,3.5,1,0,521,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.7855,97.6997062253181,-7.69970622531807,FALSE,"bw_3254"
91,45,3.1099,-5.9882,3.1099,-5.9882,528,395,0,-8.5,8.4853,-0.014719,1,0,1021,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,2.5118,38.9270718644654,6.07292813553462,FALSE,"bw_3254"
92,135,-3.0878,-5.8501,-3.0878,-5.8501,528,395,0,-8.5,-8.4853,-0.014719,1,0,421,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,2.6499,139.364340720873,-4.36434072087332,FALSE,"bw_3254"
93,90,-0.4012,-2.0592,-0.4012,-2.0592,528,395,0,-8.5,0,3.5,1,0,501,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,6.4408,93.5643716783447,-3.56437167834474,FALSE,"bw_3254"
94,45,3.256,-5.4371,3.256,-5.4371,528,395,0,-8.5,8.4853,-0.014719,1,0,481,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,3.0629,43.2496363392612,1.7503636607388,FALSE,"bw_3254"
95,90,-0.3705,-3.673,-0.3705,-3.673,528,395,0,-8.5,0,3.5,1,0,421,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.827,94.3891744395493,-4.38917443954932,FALSE,"bw_3254"
96,135,-4.259,-5.8645,-4.259,-5.8645,528,395,0,-8.5,-8.4853,-0.014719,1,0,461,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,2.6355,148.250478316706,-13.2504783167064,FALSE,"bw_3254"
97,90,-0.5458,-4.0538,-0.5458,-4.0538,528,395,0,-8.5,0,3.5,1,0,481,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,4.4462,96.9984167331071,-6.99841673310713,FALSE,"bw_3254"
98,45,3.8685,-4.8525,3.8685,-4.8525,528,395,0,-8.5,8.4853,-0.014719,1,0,541,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,3.6475,43.3157637166629,1.68423628333713,FALSE,"bw_3254"
99,135,-2.3582,-6.1031,-2.3582,-6.1031,528,395,0,-8.5,-8.4853,-0.014719,1,0,361,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,2.3969,134.533701139391,0.466298860609271,FALSE,"bw_3254"
109,45,4.2356,-5.4439,4.2356,-5.4439,528,395,0,-8.5,8.4853,-0.014719,2,0,1141,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,44.9999358525315,3.0561,35.8114679626056,9.18853203739437,FALSE,"bw_3254"
110,90,-1.5239,-3.363,-1.5239,-3.363,528,395,0,-8.5,0,3.5,2,0,461,1,1,0,1,0,"bw_3254","align_explicit_train_selected",12,90,5.137,106.523081496312,-16.5230814963117,FALSE,"bw_3254"
111,135,-3.6318,-4.4634,-3.6318,-4.4634,528,395,0,-8.5,-8.4853,-0.014719,2,0,421,1,1,0,1,0,"bw_3254","align_explicit_train_selected",8.485281,135.000064147469,4.0366,131.978271329347,3.02172867065261,FALSE,"bw_3254"
