"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
92,135,-4.4756,-4.4999,-4.4756,-4.4999,528,395,0,-8.5,-8.4853,-0.014719,1,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,4.0001,138.211016719555,-3.21101671955475,FALSE,"br_3249"
93,90,-0.3143,-2.975,-0.3143,-2.975,528,395,0,-8.5,0,3.5,1,0,661,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.525,93.2558689108335,-3.25586891083353,FALSE,"br_3249"
94,45,4.4358,-5.0342,4.4358,-5.0342,528,395,0,-8.5,8.4853,-0.014719,1,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.4658,38.0013893114328,6.9986106885672,FALSE,"br_3249"
95,135,-4.4131,-4.9167,-4.4131,-4.9167,528,395,0,-8.5,-8.4853,-0.014719,1,0,321,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.5833,140.924474980344,-5.92447498034394,FALSE,"br_3249"
96,90,0.0023,-3.6914,0.0023,-3.6914,528,395,0,-8.5,0,3.5,1,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,4.8086,89.9725948752588,0.0274051247411933,FALSE,"br_3249"
97,90,-0.3546,-2.8719,-0.3546,-2.8719,528,395,0,-8.5,0,3.5,1,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.6281,93.6051710634225,-3.60517106342252,FALSE,"br_3249"
98,135,-4.1094,-4.4282,-4.1094,-4.4282,528,395,0,-8.5,-8.4853,-0.014719,1,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,4.0718,135.263323979587,-0.263323979586659,FALSE,"br_3249"
99,45,4.8225,-3.6933,4.8225,-3.6933,528,395,0,-8.5,8.4853,-0.014719,1,0,521,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.8067,44.905986737853,0.0940132621470369,FALSE,"br_3249"
109,45,3.5812,-4.9047,3.5812,-4.9047,528,395,0,-8.5,8.4853,-0.014719,2,0,901,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.5953,45.1125715114075,-0.112571511407467,FALSE,"br_3249"
110,90,-0.5749,-3.5989,-0.5749,-3.5989,528,395,0,-8.5,0,3.5,2,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,4.9011,96.6902336661915,-6.69023366619153,FALSE,"br_3249"
