"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
33,90,-0.071,-2.9434,-0.071,-2.9434,528,395,0,-8.5,0,3.5,1,0,621,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,5.5566,90.7320625880997,-0.732062588099737,FALSE,"ls_1201"
34,90,-0.2055,-3.8852,-0.2055,-3.8852,528,395,0,-8.5,0,3.5,1,0,482,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,4.6148,92.5497332977173,-2.5497332977173,FALSE,"ls_1201"
35,135,-4.2025,-5.0203,-4.2025,-5.0203,528,395,0,-8.5,-8.4853,-0.014719,1,0,461,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,3.4797,140.375000738552,-5.37500073855222,FALSE,"ls_1201"
36,45,4.8592,-4.1529,4.8592,-4.1529,528,395,0,-8.5,8.4853,-0.014719,1,0,781,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,4.3471,41.8162059789091,3.18379402109088,FALSE,"ls_1201"
37,90,0.0561,-2.3879,0.0561,-2.3879,528,395,0,-8.5,0,3.5,1,0,662,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,6.1121,89.474124609808,0.525875390192013,FALSE,"ls_1201"
38,135,-4.976,-4.8193,-4.976,-4.8193,528,395,0,-8.5,-8.4853,-0.014719,1,0,641,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,3.6807,143.510018454932,-8.51001845493187,FALSE,"ls_1201"
39,45,2.8744,-5.5378,2.8744,-5.5378,528,395,0,-8.5,8.4853,-0.014719,1,0,741,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,2.9622,45.8618356634996,-0.861835663499555,FALSE,"ls_1201"
40,135,-3.1911,-5.6474,-3.1911,-5.6474,528,395,0,-8.5,-8.4853,-0.014719,1,0,481,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,2.8526,138.205714923066,-3.20571492306553,FALSE,"ls_1201"
41,90,0.2412,-3.1162,0.2412,-3.1162,528,395,0,-8.5,0,3.5,1,0,661,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,5.3838,87.4348030936934,2.56519690630664,FALSE,"ls_1201"
42,45,4.2694,-5.005,4.2694,-5.005,528,395,0,-8.5,8.4853,-0.014719,1,0,641,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,3.495,39.3043119597186,5.69568804028138,FALSE,"ls_1201"
43,45,5.6155,-3.2719,5.6155,-3.2719,528,395,0,-8.5,8.4853,-0.014719,1,0,561,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,5.2281,42.9539130267619,2.0460869732381,FALSE,"ls_1201"
44,90,-0.1645,-2.796,-0.1645,-2.796,528,395,0,-8.5,0,3.5,1,0,601,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,5.704,91.6519186587009,-1.65191865870088,FALSE,"ls_1201"
45,135,-3.8865,-5.4781,-3.8865,-5.4781,528,395,0,-8.5,-8.4853,-0.014719,1,0,520,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,3.0219,142.133590535803,-7.13359053580331,FALSE,"ls_1201"
64,135,-5.3932,-4.3202,-5.3932,-4.3202,528,395,0,-8.5,-8.4853,-0.014719,1,0,1501,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,4.1798,142.223851091247,-7.22385109124679,FALSE,"ls_1201"
65,90,1.0723,-4.2146,1.0723,-4.2146,528,395,0,-8.5,0,3.5,1,0,342,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,4.2854,75.9518028066775,14.0481971933225,FALSE,"ls_1201"
66,45,3.807,-5.0684,3.807,-5.0684,528,395,0,-8.5,8.4853,-0.014719,1,0,621,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,3.4316,42.0312513927716,2.96874860722841,FALSE,"ls_1201"
67,135,-2.9258,-6.1236,-2.9258,-6.1236,528,395,0,-8.5,-8.4853,-0.014719,1,0,542,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,2.3764,140.91572653995,-5.91572653995024,FALSE,"ls_1201"
68,45,4.6794,-4.4236,4.6794,-4.4236,528,395,0,-8.5,8.4853,-0.014719,1,0,762,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,4.0764,41.0603384376607,3.93966156233933,FALSE,"ls_1201"
69,90,0.0486,-3.4179,0.0486,-3.4179,528,395,0,-8.5,0,3.5,1,0,682,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,5.0821,89.4520985408795,0.547901459120538,FALSE,"ls_1201"
70,45,4.3256,-4.4322,4.3256,-4.4322,528,395,0,-8.5,8.4853,-0.014719,1,0,682,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,4.0678,43.2407356127151,1.75926438728489,FALSE,"ls_1201"
71,90,-0.5861,-3.8078,-0.5861,-3.8078,528,395,0,-8.5,0,3.5,1,0,642,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,4.6922,97.119906518276,-7.11990651827603,FALSE,"ls_1201"
72,135,-5.1459,-5.4787,-5.1459,-5.4787,528,395,0,-8.5,-8.4853,-0.014719,1,0,441,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,3.0213,149.581628197279,-14.5816281972793,FALSE,"ls_1201"
91,90,-0.9028,-3.8623,-0.9028,-3.8623,528,395,0,-8.5,0,3.5,1,0,961,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,4.6377,101.015742221073,-11.0157422210735,FALSE,"ls_1201"
92,45,4.9654,-3.4855,4.9654,-3.4855,528,395,0,-8.5,8.4853,-0.014719,1,0,781,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,5.0145,45.2818865996768,-0.281886599676803,FALSE,"ls_1201"
93,135,-3.9315,-5.0672,-3.9315,-5.0672,528,395,0,-8.5,-8.4853,-0.014719,1,0,401,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,3.4328,138.874074610304,-3.87407461030395,FALSE,"ls_1201"
94,90,-0.2887,-5.8973,-0.2887,-5.8973,528,395,0,-8.5,0,3.5,1,0,521,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,2.6027,96.3295603864461,-6.32956038644615,FALSE,"ls_1201"
95,135,-4.7274,-5.1931,-4.7274,-5.1931,528,395,0,-8.5,-8.4853,-0.014719,1,0,542,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,3.3069,145.026529944326,-10.0265299443258,FALSE,"ls_1201"
96,45,4.5353,-4.1893,4.5353,-4.1893,528,395,0,-8.5,8.4853,-0.014719,1,0,761,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,4.3107,43.5455722493008,1.45442775069918,FALSE,"ls_1201"
97,90,-0.3631,-4.5259,-0.3631,-4.5259,528,395,0,-8.5,0,3.5,1,0,661,1,1,0,1,"ls_1201","align_explicit_train_selected",12,90,3.9741,95.2204262377442,-5.22042623774423,FALSE,"ls_1201"
98,45,2.3081,-6.3728,2.3081,-6.3728,528,395,0,-8.5,8.4853,-0.014719,1,0,622,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,44.9999358525315,2.1272,42.6644049222651,2.33559507773491,FALSE,"ls_1201"
99,135,-3.5021,-5.4056,-3.5021,-5.4056,528,395,0,-8.5,-8.4853,-0.014719,1,0,600,1,1,0,1,"ls_1201","align_explicit_train_selected",8.485281,135.000064147469,3.0944,138.536695747507,-3.53669574750697,FALSE,"ls_1201"
